City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
430,Manicore,BR,84.99,scattered clouds,-5.8092,-61.3003,Hotel Durval
431,Gondanglegi,ID,76.19,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
433,Bauchi,NG,84.65,light rain,10.5,10.0,
434,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
437,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
441,Edd,ER,86.31,scattered clouds,13.9297,41.6925,
442,Panaba,MX,87.12,overcast clouds,21.2833,-88.2667,Hotel California
444,Bull Savanna,JM,81.95,scattered clouds,17.8868,-77.5902,Big Red's
445,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
448,Sinjai,ID,76.17,broken clouds,-5.1241,120.253,Wisma Sandika
455,Rincon,US,80.56,scattered clouds,32.296,-81.2354,Days Inn Rincon
459,Bandarbeyla,SO,84.09,broken clouds,9.4942,50.8122,JABIR HOTEL
462,Mazamari,PE,77.04,scattered clouds,-11.3258,-74.5308,Hospedaje Ratto
477,Paredon,MX,88.11,few clouds,16.0333,-93.8667,Hotel Principal Paredon
481,Kavaratti,IN,84.94,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
485,Bac Lieu,VN,81.3,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
490,Jatai,BR,82.04,broken clouds,-17.8814,-51.7144,Hotel Califórnia
496,Oistins,BB,80.51,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
497,Puerto Carreno,CO,75.18,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
502,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
507,Keti Bandar,PK,83.44,clear sky,24.1447,67.4497,Haji laloo memon house
508,Pathein,MM,79.63,scattered clouds,16.7833,94.7333,Pathein Hotel
510,Najran,SA,81.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
514,Wilmington,US,78.71,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
515,Daru,PG,79.86,moderate rain,-9.0763,143.2092,Daru Lodge
516,Villa De Reyes,MX,85.17,clear sky,21.8,-100.9333,HOTEL MARIA NATALIA
520,Perry,US,78.98,overcast clouds,37.2506,-83.1999,Hampton Inn & Suites Hazard
522,Dwarka,IN,83.05,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
523,Seminole,US,87.28,overcast clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
524,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
531,Tevaitoa,PF,81.3,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
532,Iranshahr,IR,89.94,overcast clouds,27.2025,60.6848,نیک سرشت
533,Port Blair,IN,82.74,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
535,Mahajanga,MG,78.89,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
536,Carnaiba,BR,80.33,overcast clouds,-8.7,-37.6667,
543,San Policarpo,PH,79.99,overcast clouds,12.1791,125.5072,Agapita M. Nicart
545,West Bay,KY,84.27,scattered clouds,19.3667,-81.4167,Calypso Cove
546,Tabou,CI,81.09,overcast clouds,4.423,-7.3528,hotêl doufoulougou
547,Fayetteville,US,81.59,broken clouds,35.0527,-78.8784,American Eagle Inn
550,Puerto Colombia,CO,89.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
552,Celestun,MX,83.61,scattered clouds,20.8667,-90.4,Posada Lilia
558,Bacolod,PH,78.8,broken clouds,10.6667,122.95,Planta Hotel & Residences
559,Uniao,BR,83.35,overcast clouds,-4.5858,-42.8642,Pousada União
561,Benguela,AO,77.41,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
568,Garowe,SO,80.51,broken clouds,8.4054,48.4845,Curubo Hotel
570,Lahaina,US,78.8,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
572,Stabat,ID,79.0,overcast clouds,3.761,98.4513,Link VII damai
574,Matara,LK,80.98,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
576,Thayetmyo,MM,82.89,scattered clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
582,Veraval,IN,82.38,clear sky,20.9,70.3667,Lords Inn Somnath
584,Thinadhoo,MV,85.91,broken clouds,0.5333,72.9333,
585,San Pedro,PH,81.63,few clouds,14.35,121.0167,Esquivel's Garden And Resort
596,Morehead,US,82.78,broken clouds,37.2711,-87.1764,CCI Express Inn
597,Qena,EG,85.96,broken clouds,26.1615,32.7183,"Grand hotel ""Quena"""
603,Madison,US,80.67,overcast clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
606,Acari,PE,77.0,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
608,Hambantota,LK,81.25,overcast clouds,6.1241,81.1185,Bungalow 63
609,Dhidhdhoo,MV,85.19,overcast clouds,6.8833,73.1,Dhidhoo beach
611,Lompoc,US,82.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
612,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
614,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
624,Trincomalee,LK,82.47,few clouds,8.5711,81.2335,Welcombe Hotel
626,Garissa,KE,80.26,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
627,Bodden Town,KY,84.2,scattered clouds,19.2833,-81.25,Will T Place
630,Wichian Buri,TH,84.51,light rain,15.6578,101.106,Mit Sali Hotel
631,Lazaro Cardenas,MX,83.8,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
634,Navadwip,IN,81.03,clear sky,23.4167,88.3667,Conch Building
635,Paulo Afonso,BR,79.63,overcast clouds,-9.4061,-38.2147,Pousada Ilha Bela
648,Bathsheba,BB,81.34,overcast clouds,13.2167,-59.5167,Atlantis Hotel
654,Arawa,PG,76.26,overcast clouds,-6.2132,155.5367,Coastline Guest House
657,Safaga,EG,81.72,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
664,Santa Helena De Goias,BR,83.61,few clouds,-17.8136,-50.5969,Hotel Cana Verde
668,Gazli,UZ,81.05,overcast clouds,40.1333,63.45,
669,Isangel,VU,78.58,overcast clouds,-19.55,169.2667,Tanna Lodge
674,Necocli,CO,83.55,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
677,Araguaina,BR,83.23,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
678,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
680,Morro Bay,US,85.24,clear sky,35.3658,-120.8499,Inn at Morro Bay
690,Saquena,PE,83.26,broken clouds,-4.6667,-73.5167,
