City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
131,Torbay,CA,47.6666,-52.7314,44.76,96,100,3.44,light rain,2022-04-30 19:29:25
132,Hurricane,US,37.1753,-113.2899,80.94,13,100,4.56,overcast clouds,2022-04-30 19:31:01
133,Lebu,CL,-37.6167,-73.65,54.5,61,2,14.27,clear sky,2022-04-30 19:28:38
134,Askiz,RU,53.1319,90.5264,54.1,53,11,5.66,few clouds,2022-04-30 19:31:55
135,Qaanaaq,GL,77.484,-69.3632,18.12,72,94,5.46,overcast clouds,2022-04-30 19:28:42
136,Mogadishu,SO,2.0371,45.3438,83.61,76,100,11.74,light rain,2022-04-30 19:29:49
137,Ahipara,NZ,-35.1667,173.1667,58.68,87,9,6.42,clear sky,2022-04-30 19:31:56
138,Cabo San Lucas,MX,22.8909,-109.9124,86.61,44,20,11.5,few clouds,2022-04-30 19:31:57
139,Rocha,UY,-34.4833,-54.3333,58.86,68,100,1.43,overcast clouds,2022-04-30 19:30:53
140,Boyolangu,ID,-8.1181,111.8935,74.93,92,100,4.25,overcast clouds,2022-04-30 19:32:57
141,Leshukonskoye,RU,64.8989,45.7622,22.51,94,81,3.47,broken clouds,2022-04-30 19:32:58
142,Avarua,CK,-21.2078,-159.775,82.45,78,40,9.22,scattered clouds,2022-04-30 19:32:59
143,Sussex,US,41.1834,-74.6663,67.73,25,0,7.0,clear sky,2022-04-30 19:32:59
144,Shimoda,JP,34.6667,138.95,52.11,67,100,6.17,overcast clouds,2022-04-30 19:33:00
145,Staryy Nadym,RU,65.6118,72.6842,22.93,96,100,4.23,light snow,2022-04-30 19:33:00
146,Zhigansk,RU,66.7697,123.3711,30.81,97,100,31.97,snow,2022-04-30 19:33:01
147,Semporna,MY,4.4818,118.6112,79.23,85,99,2.44,overcast clouds,2022-04-30 19:33:02
148,Hellvik,NO,59.9156,5.781,46.0,73,22,1.95,few clouds,2022-04-30 19:33:02
149,Jingdezhen,CN,29.2947,117.2079,54.97,96,100,3.4,light rain,2022-04-30 19:33:02
150,Moroni,KM,-11.7022,43.2551,79.27,84,33,12.28,moderate rain,2022-04-30 19:33:03
151,Turinsk,RU,58.0458,63.696,33.51,56,1,5.57,clear sky,2022-04-30 19:33:04
152,Fairbanks,US,64.8378,-147.7164,54.09,39,0,6.91,clear sky,2022-04-30 19:32:01
153,Gejiu,CN,23.306,103.1635,51.75,90,67,5.73,broken clouds,2022-04-30 19:33:04
154,Houma,US,29.5958,-90.7195,88.02,62,40,11.5,scattered clouds,2022-04-30 19:33:05
155,Bereda,ES,43.2686,-7.5406,62.58,83,12,2.98,few clouds,2022-04-30 19:33:06
156,Cap Malheureux,MU,-19.9842,57.6142,74.46,80,5,1.99,clear sky,2022-04-30 19:33:06
157,Pangody,RU,65.85,74.4859,21.74,96,100,4.74,light snow,2022-04-30 19:31:28
158,Houston,US,29.7633,-95.3633,89.4,62,40,12.66,scattered clouds,2022-04-30 19:30:38
159,Trimbak,IN,19.9333,73.55,73.38,64,0,4.23,clear sky,2022-04-30 19:33:07
160,Constitucion,CL,-35.3333,-72.4167,60.21,52,2,15.05,clear sky,2022-04-30 19:31:20
161,Pergamino,AR,-33.89,-60.5736,60.19,40,55,7.58,broken clouds,2022-04-30 19:33:08
162,Arica,CL,-18.475,-70.3042,74.75,63,0,12.66,clear sky,2022-04-30 19:32:02
163,Severo-Kurilsk,RU,50.6789,156.125,34.41,82,100,7.09,overcast clouds,2022-04-30 19:33:09
164,Provideniya,RU,64.3833,-173.3,30.13,90,100,18.03,light snow,2022-04-30 19:29:32
165,Waipawa,NZ,-41.4122,175.5153,48.94,82,65,8.41,broken clouds,2022-04-30 19:33:10
166,Wyndham,US,37.6985,-77.6125,69.06,36,0,5.01,clear sky,2022-04-30 19:33:11
167,East London,ZA,-33.0153,27.9116,64.17,69,0,14.56,clear sky,2022-04-30 19:29:37
168,Saryozek,KZ,44.3583,77.9753,60.12,28,82,3.6,broken clouds,2022-04-30 19:33:12
169,Bonavista,CA,48.6499,-53.1147,36.32,97,100,9.57,light rain,2022-04-30 19:30:03
170,Katakwi,UG,1.8911,33.9661,66.4,89,100,5.06,light rain,2022-04-30 19:33:12
171,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,6.91,scattered clouds,2022-04-30 19:33:13
172,Kununurra,AU,-15.7667,128.7333,80.58,89,100,4.61,overcast clouds,2022-04-30 19:31:31
173,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,83,20,13.8,few clouds,2022-04-30 19:33:14
174,Puerto Baquerizo Moreno,EC,-0.9,-89.6,81.59,65,20,13.8,few clouds,2022-04-30 19:33:14
175,Blackwater,AU,-23.5833,148.8833,65.91,83,78,4.52,broken clouds,2022-04-30 19:33:15
176,Veracruz,MX,19.3333,-96.6667,92.88,39,75,8.37,broken clouds,2022-04-30 19:33:15
177,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,66,40,4.61,scattered clouds,2022-04-30 19:33:16
